Date,Economic Center,Fruit,Average Price (LKR/kg),Quantity Exposed (metric tons)
2023-01-01,Dambulla,TJC mango,,
2023-01-01,Dambulla,Banana,62.51,14.4
2023-01-01,Dambulla,Pineapple,80.05,4.0
2023-01-01,Pettah,TJC mango,115.77,8.0
2023-01-01,Pettah,Banana,44.37,19.5
2023-01-01,Pettah,Pineapple,82.59,6.4
2023-01-01,Meegoda,TJC mango,105.84,10.7
2023-01-01,Meegoda,Banana,68.72,22.9
2023-01-01,Meegoda,Pineapple,77.44,3.4
2023-01-01,Narahenpita,TJC mango,118.67,8.5
2023-01-01,Narahenpita,Banana,57.94,13.4
2023-01-01,Narahenpita,Pineapple,85.66,3.6
2023-01-01,Embilipitiya,TJC mango,91.65,11.6
2023-01-01,Embilipitiya,Banana,62.81,19.0
2023-01-01,Embilipitiya,Pineapple,86.79,3.3
2023-01-02,Dambulla,TJC mango,129.99,6.7
2023-01-02,Dambulla,Banana,65.93,21.2
2023-01-02,Dambulla,Pineapple,81.32,4.5
2023-01-02,Pettah,TJC mango,,
2023-01-02,Pettah,Banana,57.65,22.1
2023-01-02,Pettah,Pineapple,67.96,4.9
2023-01-02,Meegoda,TJC mango,113.93,6.7
2023-01-02,Meegoda,Banana,53.41,18.6
2023-01-02,Meegoda,Pineapple,83.45,3.2
2023-01-02,Narahenpita,TJC mango,120.99,4.2
2023-01-02,Narahenpita,Banana,41.23,19.0
2023-01-02,Narahenpita,Pineapple,92.8,3.9
2023-01-02,Embilipitiya,TJC mango,139.89,5.1
2023-01-02,Embilipitiya,Banana,58.07,28.5
2023-01-02,Embilipitiya,Pineapple,82.52,2.4
2023-01-03,Dambulla,TJC mango,117.04,7.5
2023-01-03,Dambulla,Banana,51.48,15.6
2023-01-03,Dambulla,Pineapple,64.76,3.8
2023-01-03,Pettah,TJC mango,145.46,3.5
2023-01-03,Pettah,Banana,55.45,12.2
2023-01-03,Pettah,Pineapple,79.18,4.2
2023-01-03,Meegoda,TJC mango,126.44,5.1
2023-01-03,Meegoda,Banana,69.42,11.0
2023-01-03,Meegoda,Pineapple,84.03,4.1
2023-01-03,Narahenpita,TJC mango,109.77,9.2
2023-01-03,Narahenpita,Banana,44.63,17.1
2023-01-03,Narahenpita,Pineapple,98.52,1.9
2023-01-03,Embilipitiya,TJC mango,121.61,7.4
2023-01-03,Embilipitiya,Banana,64.44,24.0
2023-01-03,Embilipitiya,Pineapple,72.2,4.8
2023-01-04,Dambulla,TJC mango,120.05,7.5
2023-01-04,Dambulla,Banana,73.29,20.8
2023-01-04,Dambulla,Pineapple,103.38,4.0
2023-01-04,Pettah,TJC mango,144.71,8.7
2023-01-04,Pettah,Banana,57.03,27.1
2023-01-04,Pettah,Pineapple,96.32,2.5
2023-01-04,Meegoda,TJC mango,108.32,8.3
2023-01-04,Meegoda,Banana,51.47,19.6
2023-01-04,Meegoda,Pineapple,77.31,5.3
2023-01-04,Narahenpita,TJC mango,119.24,8.9
2023-01-04,Narahenpita,Banana,71.16,22.9
2023-01-04,Narahenpita,Pineapple,71.99,4.5
2023-01-04,Embilipitiya,TJC mango,124.5,7.1
2023-01-04,Embilipitiya,Banana,61.77,17.9
2023-01-04,Embilipitiya,Pineapple,,
2023-01-05,Dambulla,TJC mango,131.95,10.7
2023-01-05,Dambulla,Banana,50.34,28.7
2023-01-05,Dambulla,Pineapple,77.87,4.1
2023-01-05,Pettah,TJC mango,121.87,10.9
2023-01-05,Pettah,Banana,62.81,19.1
2023-01-05,Pettah,Pineapple,93.77,2.8
2023-01-05,Meegoda,TJC mango,146.01,7.6
2023-01-05,Meegoda,Banana,63.27,16.4
2023-01-05,Meegoda,Pineapple,76.04,2.6
2023-01-05,Narahenpita,TJC mango,108.47,6.5
2023-01-05,Narahenpita,Banana,55.2,16.5
2023-01-05,Narahenpita,Pineapple,53.67,4.4
2023-01-05,Embilipitiya,TJC mango,147.82,7.5
2023-01-05,Embilipitiya,Banana,61.01,10.3
2023-01-05,Embilipitiya,Pineapple,79.06,3.0
2023-01-06,Dambulla,TJC mango,83.35,6.0
2023-01-06,Dambulla,Banana,65.95,22.6
2023-01-06,Dambulla,Pineapple,81.08,3.1
2023-01-06,Pettah,TJC mango,132.92,12.9
2023-01-06,Pettah,Banana,56.67,15.8
2023-01-06,Pettah,Pineapple,82.59,3.4
2023-01-06,Meegoda,TJC mango,95.32,5.2
2023-01-06,Meegoda,Banana,43.64,27.2
2023-01-06,Meegoda,Pineapple,91.43,2.8
2023-01-06,Narahenpita,TJC mango,128.37,6.6
2023-01-06,Narahenpita,Banana,61.12,14.7
2023-01-06,Narahenpita,Pineapple,72.41,4.0
2023-01-06,Embilipitiya,TJC mango,131.05,8.9
2023-01-06,Embilipitiya,Banana,61.76,10.3
2023-01-06,Embilipitiya,Pineapple,83.45,6.1
2023-01-07,Dambulla,TJC mango,128.93,9.2
2023-01-07,Dambulla,Banana,50.13,17.3
2023-01-07,Dambulla,Pineapple,72.62,5.0
2023-01-07,Pettah,TJC mango,105.59,9.3
2023-01-07,Pettah,Banana,49.4,21.4
2023-01-07,Pettah,Pineapple,74.39,3.3
2023-01-07,Meegoda,TJC mango,91.5,8.5
2023-01-07,Meegoda,Banana,61.42,7.3
2023-01-07,Meegoda,Pineapple,81.88,4.5
2023-01-07,Narahenpita,TJC mango,125.95,8.5
2023-01-07,Narahenpita,Banana,54.73,17.8
2023-01-07,Narahenpita,Pineapple,85.75,5.0
2023-01-07,Embilipitiya,TJC mango,114.39,6.8
2023-01-07,Embilipitiya,Banana,53.75,14.0
2023-01-07,Embilipitiya,Pineapple,60.08,3.3
2023-01-08,Dambulla,TJC mango,106.11,9.1
2023-01-08,Dambulla,Banana,53.84,14.7
2023-01-08,Dambulla,Pineapple,54.74,3.7
2023-01-08,Pettah,TJC mango,118.33,7.7
